event_id,title,timeframe,customer,address,besetzt,gesamt,anfragen,offen
36290,Restaurant,Fr 13.02. - 14.02. 17:15h - 01:00h,JH Gastronomie GmbH,"Luisenstraße 27, 80333 München",1,1,4,0
36006,Veranstaltung,Sa 14.02. 10:00h - 15:00h,Paulaner Distribuzione S.r.l.,"Rimini, Italien",6,6,2,0
36059,Bürojob,Sa 14.02. 10:00h - 14:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",0,1,0,1
36147,Festival,Sa 14.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",3,3,5,0
36326,Bankett,Sa 14.02. - 15.02. 11:30h - 00:00h,Rocco Forte & Family (Munich) GmbH,"Sophienstr. 28, 80333 München",4,4,2,0
36356,Empfang,Sa 14.02. - 15.02. 15:00h - 00:00h,DAPP AG,"Charles Hotel, Sophienstr. 28, 80333 München",2,2,1,0
36180,Veranstaltung,Sa 14.02. - 15.02. 17:00h - 02:00h,Käfer Service GmbH,"Residenz München, Kaisersaal, Residenzstraße 1, 80333 München",16,16,19,0
35513,Veranstaltung,Sa 14.02. - 15.02. 18:00h - 04:00h,Philisterverband des AGV Akademischer Gesangsverein München e.V.,"Scholastika Haus, Ledererstr. 5, 80331 München",15,15,20,0
36004,Veranstaltung,So 15.02. 09:00h - 19:00h,Paulaner Distribuzione S.r.l.,"Rimini, Italien",6,6,3,0
36060,Bürojob,So 15.02. 10:00h - 14:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",0,1,0,1
36148,Festival,So 15.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",3,3,7,0
36302,Veranstaltung,So 15.02. 14:00h - 22:00h,Restaurant Einstein,"Sankt-Jakobs-Platz 18, 80331 München",9,9,29,0
36352,BMW Park,So 15.02. 17:30h - 23:30h,Käfer Service GmbH | Messegastronomie,"Grasweg 74, 81373 München",3,8,15,5
36027,Bürojob,Mo 16.02. 09:00h - 18:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",0,1,0,1
35758,Veranstaltung,Mo 16.02. 09:30h - 19:00h,Paulaner Distribuzione S.r.l.,"Rimini, Italien",6,6,6,0
36162,Festival,Mo 16.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",2,2,3,0
36007,Veranstaltung,Di 17.02. 09:30h - 19:00h,Paulaner Distribuzione S.r.l.,"Rimini, Italien",6,6,1,0
36163,Festival,Di 17.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",2,2,2,0
36265,BMW Park,Di 17.02. 14:30h - 23:00h,Käfer Service GmbH | Messegastronomie,"Grasweg 74, 81373 München",14,14,46,0
36267,Bankett,Mi 18.02. 07:30h - 18:00h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",1,1,10,0
36029,Bürojob,Mi 18.02. 09:00h - 18:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",1,1,0,0
36005,Veranstaltung,Mi 18.02. 10:00h - 17:30h,Paulaner Distribuzione S.r.l.,"Rimini, Italien",6,6,2,0
36164,Festival,Mi 18.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",2,2,3,0
36121,Käfer Messe,Do 19.02. 06:00h - 19:00h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",30,31,43,1
36030,Bürojob,Do 19.02. 09:00h - 18:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",1,1,0,0
36165,Festival,Do 19.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",2,2,6,0
36340,Käfer Messe,Do 19.02. 11:00h - 15:00h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",1,1,0,0
36332,Käfer Messe,Fr 20.02. 07:00h - 18:00h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",7,7,23,0
36341,Käfer Messe,Fr 20.02. 08:30h - 18:30h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",1,1,0,0
36031,Bürojob,Fr 20.02. 09:00h - 18:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",1,1,0,0
36166,Festival,Fr 20.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",2,2,3,0
36333,Käfer Messe,Sa 21.02. 07:00h - 18:30h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",5,5,16,0
36342,Käfer Messe,Sa 21.02. 08:30h - 19:00h,Käfer Service GmbH | Messegastronomie,"Am Messesee 4, 81829 München",1,1,0,0
36061,Bürojob,Sa 21.02. 10:00h - 14:00h,GREATSTAFF,"Werinherstr. 43, 81541 München",1,1,0,0
36149,Festival,Sa 21.02. 10:00h - 20:00h,Sonnenrot GmbH,"Pineapple Park, Paketposthalle, 80634 München",3,3,7,0
36183,Veranstaltung,Sa 21.02. - 22.02. 14:30h - 03:30h,Käfer Service GmbH,"Bavariafilmplatz 7, 82031 Geiselgasteig",10,10,14,0
36291,Restaurant,Sa 21.02. - 22.02. 17:00h - 01:00h,JH Gastronomie GmbH,"Luisenstraße 27, 80333 München",3,3,11,0
